,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2022-01-03,1549000,578453000,378.5,379.0,371.0,372.0,-2.5,1577
1,2022-01-04,1981000,746518000,374.5,379.5,372.5,379.5,7.5,2226
2,2022-01-05,6054000,2321359000,380.5,387.5,377.5,385.5,6.0,5673
3,2022-01-06,4287000,1610857000,382.0,384.0,372.0,375.0,-10.5,4233
4,2022-01-07,4822000,1742252000,375.0,375.0,355.0,355.0,-20.0,5938
5,2022-01-10,2621000,920627000,352.0,354.5,345.0,354.5,-0.5,2289
6,2022-01-11,4063000,1401067000,352.5,352.5,342.0,343.0,-11.5,4431
7,2022-01-12,6276000,2098267000,345.0,345.0,328.0,337.0,-6.0,6487
8,2022-01-13,1938000,652221000,338.5,340.0,334.0,336.0,-1.0,2150
9,2022-01-14,2254000,746638000,334.0,338.0,328.5,331.0,-5.0,2286
10,2022-01-17,4056000,1369885000,333.5,342.0,331.5,340.5,9.5,3384
11,2022-01-18,3696000,1278921000,341.0,349.0,341.0,344.5,4.0,3487
12,2022-01-19,3453000,1163105000,342.0,343.0,332.5,333.0,-11.5,3605
13,2022-01-20,2695000,912344000,332.0,342.0,331.5,340.0,7.0,2207
14,2022-01-21,2683000,908724000,337.5,342.0,334.0,338.5,-1.5,2059
15,2022-01-24,3006000,1015888000,338.5,345.0,330.0,343.5,5.0,3759
16,2022-01-25,3074000,1044610000,342.0,346.5,335.0,336.0,-7.5,2796
17,2022-01-26,1310000,438298000,332.5,338.0,330.5,335.5,-0.5,1558
18,2022-02-07,1466000,491610000,341.0,341.0,332.0,335.5,0.0,1555
19,2022-02-08,2005000,687668000,342.0,346.0,339.0,343.0,7.5,1872
20,2022-02-09,2750000,933882000,343.5,344.5,334.0,344.0,1.0,2504
21,2022-02-10,2823000,956403000,342.0,342.5,335.5,341.0,-3.0,2786
22,2022-02-11,7242000,2360864000,334.5,336.5,318.5,320.0,-21.0,9059
23,2022-02-14,7197000,2219672000,300.0,318.0,299.5,312.5,-7.5,6402
24,2022-02-15,2957000,913637000,310.0,312.5,306.5,308.0,-4.5,3828
25,2022-02-16,2120000,668385000,312.5,317.0,312.5,316.0,8.0,2335
26,2022-02-17,1781000,566018000,316.0,321.0,314.0,318.0,2.0,1969
27,2022-02-18,1177000,370493000,311.0,317.0,311.0,316.0,-2.0,1365
28,2022-02-21,2327000,740561000,316.0,323.0,311.0,321.0,5.0,2202
29,2022-02-22,3449000,1069927000,317.0,318.0,306.5,310.0,-11.0,4205
30,2022-02-23,1480000,458694000,310.5,312.0,307.5,310.5,0.5,1702
31,2022-02-24,1927000,586785000,306.5,307.5,302.0,302.5,-8.0,3949
32,2022-02-25,2831000,859706000,305.0,307.5,302.0,302.0,-0.5,3271
33,2022-03-01,1952000,599042000,306.0,308.0,305.0,308.0,6.0,2702
34,2022-03-02,1658000,511393000,307.0,311.0,305.5,309.5,1.5,2490
35,2022-03-03,1563000,486747000,312.0,316.0,308.5,310.5,1.0,2483
36,2022-03-04,1268000,386342000,306.0,308.0,302.0,303.0,-7.5,2889
37,2022-03-07,2787000,818282000,300.0,300.0,291.0,292.5,-10.5,4673
38,2022-03-08,3237000,936705000,284.0,298.0,282.0,286.0,-6.5,4757
39,2022-03-09,2444000,701204000,288.0,291.0,284.0,286.5,0.5,3515
40,2022-03-10,1442000,426071000,293.0,297.5,293.0,295.5,9.0,2585
41,2022-03-11,1591000,461638000,295.0,295.0,288.0,290.5,-5.0,2882
42,2022-03-14,941000,271859000,292.0,292.0,286.0,289.0,-1.5,1214
43,2022-03-15,2087000,599482000,291.0,294.5,284.0,285.5,-3.5,3355
44,2022-03-16,1523000,435944000,288.5,289.0,283.5,287.0,1.5,1529
45,2022-03-17,1812000,535158000,297.0,298.0,292.5,296.5,9.5,2866
46,2022-03-18,2700000,786787000,298.5,298.5,289.0,292.5,-4.0,3192
47,2022-03-21,835000,244578000,292.5,294.5,291.5,291.5,-1.0,1989
48,2022-03-22,485000,141937000,293.0,294.5,291.5,292.5,1.0,938
49,2022-03-23,669000,196410000,293.5,294.5,292.5,292.5,0.0,906
50,2022-03-24,892000,258899000,291.5,294.0,287.0,293.0,0.5,2143
51,2022-03-25,5732000,1619022000,282.5,289.5,280.0,280.5,-12.5,7960
52,2022-03-28,3021000,830047000,275.0,277.5,271.0,276.5,-4.0,4223
53,2022-03-29,1149000,322268000,277.5,282.5,277.0,282.0,5.5,1727
54,2022-03-30,6368000,1710518000,270.0,272.5,265.0,271.5,-10.5,7703
55,2022-03-31,3967000,1055574000,269.0,269.0,265.0,266.0,-5.5,5482
56,2022-04-01,4532000,1174768000,260.0,263.0,255.0,263.0,-3.0,6068
57,2022-04-06,4195000,1081913000,260.0,262.0,256.0,258.0,-5.0,4846
58,2022-04-07,5458000,1349988000,254.5,255.0,243.0,243.0,-15.0,7023
59,2022-04-08,3510000,850145000,245.0,247.5,238.5,240.5,-2.5,6370
60,2022-04-11,3196000,747926000,240.5,241.0,231.0,233.0,-7.5,6741
61,2022-04-12,1848000,428938000,229.0,236.5,229.0,231.0,-2.0,4669
62,2022-04-13,1801000,427037000,235.0,239.5,234.0,237.5,6.5,6124
63,2022-04-14,2070000,480007000,239.5,239.5,230.0,230.0,-7.5,5273
64,2022-04-15,1239000,284486000,227.0,232.0,226.0,230.0,0.0,2614
65,2022-04-18,1230000,278827000,226.5,229.0,225.0,226.0,-4.0,2631
66,2022-04-19,2199000,507414000,233.5,237.0,226.0,228.5,2.5,2452
67,2022-04-20,2916000,662812000,231.0,232.0,225.0,228.0,-0.5,4869
68,2022-04-21,1803000,417745000,230.0,233.0,229.0,233.0,5.0,2708
69,2022-04-22,3917000,892234000,230.0,231.0,226.0,226.0,-7.0,4118
70,2022-04-25,1598000,354523000,221.0,224.0,220.5,221.5,-4.5,2936
71,2022-04-26,2515000,547249000,223.0,223.0,213.5,217.0,-4.5,3491
72,2022-04-27,2588000,545594000,206.0,215.5,205.5,214.0,-3.0,3322
73,2022-04-28,2918000,618354000,214.5,216.0,208.5,211.0,-3.0,3608
74,2022-04-29,11954000,2384228000,205.0,208.5,193.5,195.5,-15.5,12569
75,2022-05-03,8166000,1590621000,194.0,199.0,190.5,195.0,-0.5,8484
76,2022-05-04,6491000,1258664000,199.5,200.0,191.0,193.5,-1.5,6323
77,2022-05-05,4642000,917063000,197.0,199.5,195.0,198.5,5.0,4572
78,2022-05-06,3412000,665208000,193.0,198.5,191.0,198.5,0.0,4458
79,2022-05-09,3100000,604542000,195.0,197.5,193.0,193.5,-5.0,4155
80,2022-05-10,2491000,476997000,190.0,194.0,188.5,193.5,0.0,3622
81,2022-05-11,1669000,325653000,195.0,196.5,194.0,194.0,0.5,3225
82,2022-05-12,2611000,498319000,192.5,194.5,189.0,189.0,-5.0,3370
83,2022-05-13,2859000,556678000,193.0,198.0,190.5,198.0,9.0,3429
84,2022-05-16,2401000,473154000,200.5,201.5,193.5,196.5,-1.5,4809
85,2022-05-17,3131000,633520000,198.5,205.5,197.5,205.0,8.5,4703
86,2022-05-18,4149000,854634000,207.0,210.0,203.0,205.5,0.5,7568
87,2022-05-19,2969000,588569000,196.5,200.0,195.5,198.5,-7.0,3670
88,2022-05-20,1331000,264267000,198.0,200.0,196.5,200.0,1.5,2285
89,2022-05-23,1751000,349938000,200.0,202.0,197.0,200.5,0.5,1615
90,2022-05-24,2575000,502396000,200.0,200.0,192.0,192.0,-8.5,2713
91,2022-05-25,1205000,235043000,193.0,197.0,192.0,195.5,3.5,1173
92,2022-05-26,2585000,518933000,198.0,203.5,197.0,199.0,3.5,2981
93,2022-05-27,8507000,1808498000,205.0,218.5,203.0,217.0,18.0,9099
94,2022-05-30,10457000,2264866000,222.5,223.5,212.0,218.0,1.0,16353
95,2022-05-31,12360000,2783917000,218.0,232.5,216.0,225.0,7.0,10875
96,2022-06-01,7127000,1620109000,224.5,232.5,222.5,227.0,2.0,10289
97,2022-06-02,4055000,903863000,225.5,228.0,220.0,221.0,-6.0,7689
98,2022-06-06,12730000,2966808000,230.5,237.5,227.0,234.0,13.0,10806
99,2022-06-07,5566000,1274343000,231.5,232.0,227.5,228.0,-6.0,14157
100,2022-06-08,3791000,852953000,229.0,229.5,222.5,223.0,-5.0,4186
101,2022-06-09,2796000,627230000,221.5,227.0,221.0,225.0,2.0,2378
102,2022-06-10,2183000,491250000,221.0,228.0,220.5,228.0,3.0,2868
