number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
32,-0.6384556352298139,-0.17764355262047019,2024-01-16 16:33:33.235918,2024-01-16 16:33:33.355771,0 days 00:00:00.119853,2.325201057686944,20,2.0958037601324877,20,0,COMPLETE
33,-0.9498391119716277,-0.21292452356332603,2024-01-16 16:33:33.356767,2024-01-16 16:33:33.493731,0 days 00:00:00.136964,2.3204876872126667,23,2.196200097012218,26,0,COMPLETE
34,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:33.494695,2024-01-16 16:33:33.604021,0 days 00:00:00.109326,2.31372422320692,23,2.0631418140000606,23,0,COMPLETE
35,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:33.605020,2024-01-16 16:33:33.719635,0 days 00:00:00.114615,2.4099562380501673,20,2.0726130716557623,25,0,COMPLETE
36,-0.9498391119716277,-0.21292452356332603,2024-01-16 16:33:33.720632,2024-01-16 16:33:33.845189,0 days 00:00:00.124557,2.368561422664644,24,2.2218041358510563,23,0,COMPLETE
37,-0.032468246278678524,-0.06245403218982503,2024-01-16 16:33:33.846187,2024-01-16 16:33:33.959332,0 days 00:00:00.113145,2.3029639019517107,22,2.206385393480181,21,0,COMPLETE
38,-0.03679525924197302,-0.012453905817682197,2024-01-16 16:33:33.959332,2024-01-16 16:33:34.078628,0 days 00:00:00.119296,2.3552355481077227,24,2.1431475272357923,20,0,COMPLETE
39,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:34.079589,2024-01-16 16:33:34.225836,0 days 00:00:00.146247,2.484981948805158,19,2.0032215494113386,20,0,COMPLETE
40,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:34.225836,2024-01-16 16:33:34.342174,0 days 00:00:00.116338,2.436836969099173,23,2.246133477337727,23,0,COMPLETE
41,-0.9498391119716277,-0.21292452356332603,2024-01-16 16:33:34.343173,2024-01-16 16:33:34.466966,0 days 00:00:00.123793,2.3702681548783873,24,2.275267262188232,23,0,COMPLETE
42,-0.5083143744880645,-0.17242568978160605,2024-01-16 16:33:34.467963,2024-01-16 16:33:34.582272,0 days 00:00:00.114309,2.331588979120339,21,2.2592096629372898,26,0,COMPLETE
43,1.1179824439623918,0.17486205993462847,2024-01-16 16:33:34.583281,2024-01-16 16:33:34.709994,0 days 00:00:00.126713,2.4655710133768336,20,2.071944196504805,25,0,COMPLETE
44,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:34.709994,2024-01-16 16:33:34.822808,0 days 00:00:00.112814,2.474883515854181,23,2.2914574903608824,25,0,COMPLETE
45,-0.31536116313000256,-0.055380539758503884,2024-01-16 16:33:34.823774,2024-01-16 16:33:34.953074,0 days 00:00:00.129300,2.4068386844857645,24,2.232285999211777,23,0,COMPLETE
46,0.3966394066473644,0.060276357991827755,2024-01-16 16:33:34.954073,2024-01-16 16:33:35.093814,0 days 00:00:00.139741,2.3843118636001077,19,2.034983496114655,21,0,COMPLETE
47,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:35.094850,2024-01-16 16:33:35.199622,0 days 00:00:00.104772,2.342141844009088,21,2.028155192721837,24,0,COMPLETE
48,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:35.200613,2024-01-16 16:33:35.325889,0 days 00:00:00.125276,2.3483806242324525,20,2.0112367514264107,21,0,COMPLETE
49,1.062739721322751,0.18200830750361846,2024-01-16 16:33:35.327850,2024-01-16 16:33:35.455127,0 days 00:00:00.127277,2.4054522148934727,19,2.2016890761454717,25,0,COMPLETE
50,-0.5083143744880645,-0.17242568978160605,2024-01-16 16:33:35.456125,2024-01-16 16:33:35.583070,0 days 00:00:00.126945,2.3326943086960785,21,2.2475108235952135,26,1,COMPLETE
51,-0.2604834892865915,-0.06597574999795881,2024-01-16 16:33:35.584067,2024-01-16 16:33:35.708146,0 days 00:00:00.124079,2.474883515854181,21,2.2843403471418684,21,1,COMPLETE
52,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:35.709146,2024-01-16 16:33:35.827439,0 days 00:00:00.118293,2.4189541603024227,21,2.19782203215536,23,1,COMPLETE
53,0.33252397882174395,0.04820073424248164,2024-01-16 16:33:35.827439,2024-01-16 16:33:36.018121,0 days 00:00:00.190682,2.484981948805158,19,2.106396219599662,20,1,COMPLETE
54,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:36.019085,2024-01-16 16:33:36.130039,0 days 00:00:00.110954,2.4557277502083306,21,2.095280420400577,25,1,COMPLETE
55,-0.5373086266034818,-0.15411750004299735,2024-01-16 16:33:36.132034,2024-01-16 16:33:36.288876,0 days 00:00:00.156842,2.3526568957949507,19,2.174282829524407,21,1,COMPLETE
56,-0.04537984233953612,-0.04884540166429616,2024-01-16 16:33:36.288876,2024-01-16 16:33:36.401800,0 days 00:00:00.112924,2.3854868269093985,22,2.2654041573816235,21,1,COMPLETE
57,-0.032468246278678524,-0.06245403218982503,2024-01-16 16:33:36.401800,2024-01-16 16:33:36.514086,0 days 00:00:00.112286,2.3029639019517107,22,2.206385393480181,21,1,COMPLETE
58,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:36.515116,2024-01-16 16:33:36.618458,0 days 00:00:00.103342,2.3148543412852867,21,2.0149871048326804,22,1,COMPLETE
59,0.31968768765109046,0.04688884346120204,2024-01-16 16:33:36.618458,2024-01-16 16:33:36.724750,0 days 00:00:00.106292,2.4278971351616794,22,2.034983496114655,25,1,COMPLETE
60,-0.2885060700086327,-0.13590781539896937,2024-01-16 16:33:36.724750,2024-01-16 16:33:36.877551,0 days 00:00:00.152801,2.325201057686944,19,2.0958037601324877,20,1,COMPLETE
61,-0.4476040549789468,-0.12771166599425143,2024-01-16 16:33:36.877551,2024-01-16 16:33:36.988871,0 days 00:00:00.111320,2.474935397554925,22,2.223322463279338,23,1,COMPLETE
