number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
0,-0.2507834893300459,-0.13474594942974377,2024-01-16 12:10:19.675773,2024-01-16 12:10:20.012415,0 days 00:00:00.336642,2.1341366410721276,21,2.186749608588983,20,0,COMPLETE
1,0.14659117807004177,0.0037574074761576527,2024-01-16 12:10:20.014582,2024-01-16 12:10:20.233443,0 days 00:00:00.218861,2.1582768535874224,22,2.2602429838639013,24,0,COMPLETE
2,0.06700326309455518,-0.014787934580108271,2024-01-16 12:10:20.237507,2024-01-16 12:10:20.453052,0 days 00:00:00.215545,2.4276369361105186,18,2.003644160726899,26,0,COMPLETE
3,-0.26250194482852146,-0.1889683448578228,2024-01-16 12:10:20.456054,2024-01-16 12:10:20.672486,0 days 00:00:00.216432,2.319305034554426,18,2.270137053667346,24,0,COMPLETE
4,-0.2791902517346048,-0.12485891314932601,2024-01-16 12:10:20.673715,2024-01-16 12:10:20.903942,0 days 00:00:00.230227,2.1328934781392195,23,2.240830051578234,24,0,COMPLETE
5,0.3952611235989453,0.09394212164641019,2024-01-16 12:10:20.905936,2024-01-16 12:10:21.189627,0 days 00:00:00.283691,2.271753865244391,24,2.0407853144311607,21,0,COMPLETE
6,-0.13047424243040318,-0.06771496396480516,2024-01-16 12:10:21.189627,2024-01-16 12:10:21.405365,0 days 00:00:00.215738,2.046111601583608,24,2.2682610295389463,23,0,COMPLETE
7,-0.07886988675887058,-0.07831506026362049,2024-01-16 12:10:21.406361,2024-01-16 12:10:21.621713,0 days 00:00:00.215352,2.011087320658824,17,2.179512849645756,20,0,COMPLETE
8,0.14659117807004177,0.0037574074761576527,2024-01-16 12:10:21.625448,2024-01-16 12:10:21.851890,0 days 00:00:00.226442,2.109956760255942,22,2.195002497152966,24,0,COMPLETE
9,-0.5603941140747039,-0.153059575624861,2024-01-16 12:10:21.852886,2024-01-16 12:10:22.063147,0 days 00:00:00.210261,2.465050376320047,21,2.1093319293604433,21,0,COMPLETE
