,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2020-01-02,7355000,2225199000,297.0,305.0,296.0,305.0,11.0,5598
1,2020-01-03,11996000,3583442000,308.0,310.0,293.5,295.0,-10.0,8042
2,2020-01-06,9663000,2780617000,290.0,291.0,285.0,285.0,-10.0,6494
3,2020-01-07,8865000,2542487000,290.0,291.0,282.5,288.0,3.0,6370
4,2020-01-08,15265000,4245967000,282.0,285.0,274.5,275.0,-13.0,11281
5,2020-01-09,8037000,2261376000,279.5,284.5,278.5,284.5,9.5,5911
6,2020-01-10,8021000,2267992000,284.5,286.5,277.0,286.5,2.0,5517
7,2020-01-13,4986000,1420395000,287.0,287.5,282.0,285.0,-1.5,3645
8,2020-01-14,6064000,1750918000,287.0,292.5,285.0,288.0,3.0,4322
9,2020-01-15,5696000,1655420000,291.0,294.0,288.0,288.0,0.0,4125
10,2020-01-16,8632000,2436987000,283.0,286.0,278.0,284.5,-3.5,6171
11,2020-01-17,3000000,856154000,286.5,287.0,282.0,285.5,1.0,2243
12,2020-01-20,3599000,1029564000,287.5,287.5,284.0,286.0,0.5,2327
13,2020-01-30,9663000,2651525000,274.0,282.5,268.0,275.5,-10.5,7129
14,2020-01-31,7177000,2007477000,278.0,283.5,273.0,282.0,6.5,5433
15,2020-02-03,9335000,2526481000,274.0,276.5,262.0,270.5,-11.5,6365
16,2020-02-04,5825000,1605331000,275.0,278.5,273.5,275.0,4.5,4124
17,2020-02-05,15681000,4525595000,280.0,294.0,279.0,292.5,17.5,11205
18,2020-02-06,8899000,2615963000,295.0,297.0,290.0,295.0,2.5,6464
19,2020-02-07,6522000,1922515000,295.0,299.0,290.5,293.5,-1.5,4903
20,2020-02-10,5124000,1488650000,286.0,296.0,285.0,290.5,-3.0,4084
21,2020-02-11,10747000,3213373000,294.5,303.0,293.0,302.0,11.5,7640
22,2020-02-12,18448000,5743867000,304.0,320.0,302.5,316.0,14.0,12857
23,2020-02-13,21021000,6728984000,322.0,327.0,313.0,315.5,-0.5,14356
24,2020-02-14,15021000,4639361000,309.0,312.5,307.0,307.0,-8.5,10577
25,2020-02-17,17186000,5058807000,295.0,301.5,290.0,291.0,-16.0,12792
26,2020-02-18,14066000,4008612000,291.0,293.0,280.0,280.0,-11.0,11052
27,2020-02-19,9988000,2825133000,282.0,286.0,279.0,280.5,0.5,7610
28,2020-02-20,11065000,3176651000,285.0,290.0,283.5,289.5,9.0,8270
29,2020-02-21,7936000,2264023000,289.5,291.0,283.0,283.0,-6.5,6111
30,2020-02-24,7343000,2068146000,278.0,285.5,276.5,285.5,2.5,5352
31,2020-02-25,6941000,1983275000,282.5,288.0,281.0,286.5,1.0,5394
