number,sharpe_ratio,total_return,datetime_start,datetime_complete,duration,params_bb_multiply,params_bb_timeperiod,params_channel_multiply,params_channel_timeperiod,system_attrs_nsga2:generation,state
0,1.0160213097091657,1.1735051689250133,2024-01-16 11:42:25.006058,2024-01-16 11:42:25.448781,0 days 00:00:00.442723,2.003171148694472,18,2.1661882014983833,26,0,COMPLETE
1,0.7873865904930323,0.7054522855498354,2024-01-16 11:42:25.451336,2024-01-16 11:42:25.832403,0 days 00:00:00.381067,1.5707092744514437,26,1.9639082650708886,28,0,COMPLETE
2,1.3643904948169343,2.226772414782485,2024-01-16 11:42:25.832403,2024-01-16 11:42:26.300425,0 days 00:00:00.468022,2.2054997380895505,25,2.2092704064560986,23,0,COMPLETE
3,1.2788710938909411,1.6332864585465041,2024-01-16 11:42:26.300425,2024-01-16 11:42:26.718262,0 days 00:00:00.417837,2.455995218109988,30,2.013874947629428,21,0,COMPLETE
4,1.5100905988653963,2.6165113688888777,2024-01-16 11:42:26.719274,2024-01-16 11:42:27.041145,0 days 00:00:00.321871,2.3321119900260214,28,1.8611558693752601,22,0,COMPLETE
5,1.5848991414136517,2.096423973762532,2024-01-16 11:42:27.042112,2024-01-16 11:42:27.408289,0 days 00:00:00.366177,2.307121870850973,19,2.247856471174098,15,0,COMPLETE
6,1.481415853694537,2.3010893374699846,2024-01-16 11:42:27.409323,2024-01-16 11:42:27.725383,0 days 00:00:00.316060,2.0646683016474485,28,2.138312483436843,18,0,COMPLETE
7,0.6495255602270404,0.5833341278135769,2024-01-16 11:42:27.725383,2024-01-16 11:42:27.999854,0 days 00:00:00.274471,2.4097333251675,24,1.8818087110295363,22,0,COMPLETE
8,0.9472817644524624,1.4381557129224882,2024-01-16 11:42:28.000843,2024-01-16 11:42:28.296677,0 days 00:00:00.295834,2.339604165801876,20,1.9917799644625616,20,0,COMPLETE
9,1.5251618006572336,3.2850509868407234,2024-01-16 11:42:28.297685,2024-01-16 11:42:28.619061,0 days 00:00:00.321376,2.2634261376883553,18,2.2383438905803947,24,0,COMPLETE
